num_layers,neurons_per_layer,val_loss,train_loss
1,64,1.034011748790741,1.5180928325653076
1,128,0.885353120803833,1.3060226570447286
1,256,0.7669008932113648,1.065791433429718
1,512,0.7331615967750549,0.9453822543621063
1,1024,0.7562690582275391,0.8865885134855906
2,64,0.48199263429641725,1.0510768982887269
2,128,0.33526796028017997,0.7077721762021383
2,256,0.27011356136202813,0.5229545482873916
2,512,0.26768717669695613,0.42902448591391246
2,1024,0.33404918865859506,0.41315648405949273
3,64,0.4361510744690895,0.9802862380027771
3,128,0.2762795051634312,0.6194833827416102
3,256,0.21848904825001955,0.4307055875857671
3,512,0.20799657460302115,0.3402966628551483
3,1024,0.2240517326295376,0.30472365667422613
4,64,0.4032069092988968,0.9416445942083994
4,128,0.2634562450647354,0.596953988623619
4,256,0.21896974558383225,0.4218054466168086
4,512,0.2015270566046238,0.33927200203736624
4,1024,0.2177346613332629,0.2905399856507778
5,64,0.447286949634552,1.022331329536438
5,128,0.29467611575126645,0.6621665861765543
5,256,0.22015120805799962,0.43896654050350187
5,512,0.20858658558875323,0.35795185601115226
5,1024,0.20442613957822323,0.30944539275566735
6,64,0.4519999643564224,1.0304890864054361
6,128,0.3002279152572155,0.6819215096314748
6,256,0.2219096011221409,0.4632480728944143
6,512,0.20389511081576348,0.3696689921061198
6,1024,0.2225727246850729,0.33689200518329937
7,64,0.48242115116119383,1.1044512263615927
7,128,0.3016987216770649,0.7015176188151042
7,256,0.23023097923398017,0.4819920192480087
7,512,0.20203209480643272,0.39887370790640514
7,1024,0.3016899863183498,0.3589964392264684
8,64,0.5289481872320175,1.185488308874766
8,128,0.3147177277207375,0.7109403637727102
8,256,0.23363837046921254,0.5157153065601985
8,512,0.22990080408751964,0.4235457596262296
8,1024,0.1991962089240551,0.3811378374258677
